Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,Media_final
1173,14,29,56,188,188,17,0.0,1.0,11.44,1.0,1.0,0.0,3.33,0.0,0.0,0.21,0.72,0.0,0.0,-1.0,6.67,0.0,3.11,1.24,0.38
1305,2,0,5,35,35,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.62,0.0,-1.0,-1.0,0.0,0.0,0.0,0.18,0.0
1310,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1688,0.0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2101,99,30,46,262,263,30,10.0,129.82,1036.73,8.25,0.14,11.25,3.33,0.0,0.72,0.62,195.2,3.14,107.67,95.33,5.36,0.0,2.91,1.94,10.0
2102,80,28,42,332,332,76,10.0,68.69,719.93,4.64,0.48,9.43,6.11,2.02,0.09,0.35,117.98,3.87,54.14,22.0,5.5,0.0,4.0,2.47,8.01
2103,35,9,24,294,294,24,10.0,13.8,141.4,2.0,1.0,0.22,3.33,0.37,0.0,0.03,0.67,0.0,-1.0,0.0,6.3,0.0,3.2,1.65,7.84
2104,90,26,26,398,398,94,10.0,226.73,1681.6,4.33,0.42,12.47,6.11,4.09,0.2,0.14,492.73,2.18,38.67,8.33,6.67,0.0,4.2,2.76,9.22
2105,15,6,12,51,51,36,5.0,82.2,788.4,3.0,0.17,10.4,0.74,0.74,15.92,0.27,21.71,2.43,22.0,-1.0,3.2,0.0,3.6,0.76,2.03
2107,21,20,31,286,286,24,5.0,36.5,369.45,1.4,0.73,0.1,3.33,0.73,0.0,0.14,9.06,0.0,1.3,0.0,6.2,0.0,3.0,1.82,6.85
2108,70,1,19,282,282,38,0.0,204.1,1004.3,6.36,0.36,14.9,3.33,3.33,0.07,0.26,171.32,2.3,78.09,36.2,6.4,0.0,3.1,1.82,1.67
2109,0.0,0,0,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.13
2110,62,24,18,141,141,41,10.0,114.22,892.89,6.2,0.18,8.44,1.85,1.85,0.22,0.11,130.02,4.29,5.78,0.0,4.22,0.0,2.67,1.59,7.46
2111,0.0,0,0,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.2
2112,46,8,30,276,276,34,5.0,19.44,155.44,2.11,0.63,1.56,3.33,1.1,0.0,0.24,21.03,0.0,27.9,13.67,5.78,0.0,4.1,1.71,7.6
2113,51,27,67,319,319,51,0.0,107.3,979.9,3.3,0.35,5.9,3.33,3.33,0.17,0.49,224.34,3.03,32.8,32.9,6.2,0.0,4.09,1.82,2.42
2114,46,30,15,252,252,35,5.0,34.91,399.82,2.91,0.57,3.55,3.33,1.67,0.14,0.17,35.77,3.35,3.55,3.64,6.09,0.0,2.75,1.94,7.63
2115,0.0,6,4,15,15,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.85,5.83,-1.0,-1.0,0.0,0.0,0.0,0.12,2.35
2116,45,4,22,150,150,30,0.0,5.25,28.38,1.5,0.72,0.0,3.89,0.47,0.0,0.44,2.6,2.41,4.88,10.62,4.0,0.33,4.11,1.35,1.35
2117,100,30,38,358,358,60,10.0,104.73,957.56,3.6,0.41,7.88,4.44,4.44,0.75,0.42,523.15,1.73,16.62,15.62,5.6,0.0,4.59,2.76,8.98
2118,54,31,54,342,342,41,10.0,50.64,491.57,3.14,0.55,3.69,6.11,6.11,0.35,0.26,89.64,2.66,13.57,3.64,5.71,0.0,4.53,2.59,8.05
2119,0.0,0,0,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.4
2120,35,18,9,121,121,71,10.0,226.57,1554.86,3.83,0.22,12.33,1.11,1.11,0.05,0.17,92.88,3.25,5.67,2.5,6.86,0.0,2.86,1.12,7.48
2121,63,28,25,333,333,60,5.0,59.75,650.4,3.19,0.51,3.6,6.11,3.06,0.24,0.19,158.12,2.66,15.0,5.31,5.44,0.0,3.44,2.88,7.92
2122,40,21,39,258,258,64,5.0,187.09,1408.18,2.5,0.56,14.7,2.96,2.96,0.13,0.53,198.14,2.37,109.0,8.5,5.9,0.0,2.4,1.82,9.48
