Id,couse name,high school name,shcool type,shift,graduation year,has a PC at home,share this PC with other people at home,Internet,previous experience of any computer language,worked or interned before the degree,company name,year started working,year stopped working,started other degree programmes,degree course,institution name,year started this degree,year stoped this degree,sex,age,civil status,have kids
1168,Engenharia de Materiais,CMM,0,morning shift,1994,0,0,0,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,18,married,0
1502,Engenharia Química,Escola Estadual Frei Silvio Vagheggi,0,morning shift,2015,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,21,single,0
1591,Engenharia de Produção,IDAAM,1,morning shift,2014,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,22,single,0
2182,Matemática - Licenciatura Noturno,aldeia do conhecimento,0,afternoon shift,2015,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,22,single,0
2306,Engenharia Química,Colégio Dom bosco,1,morning shift,2017,1,0,1,0,1,Secretara Municipal de Educação,2000,2007,1,Química Bacharelado,UFAM,2008,2016,1,29,single,0
2495,Matemática - Licenciatura Noturno,E.E Áurea Pinheiro Braga,0,morning shift,2014,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,23,single,0
2535,Engenharia Elétrica,Escola Estadual Maria Calderaro,0,morning shift,2016,0,0,0,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
2613,Engenharia de Produção,Martha Falcão ,1,morning shift,2015,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,2,single,0
2639,Engenharia de Produção,Escola Estadual de 1º e 2º Grau Cristóvão Pereira,0,night shift,1984,1,0,1,0,1,EXÉRCITO BRASILEIRO,1988,0,1,ENGENHARIA DE PRODUÇÃO,UNINORTE,2013,2014,1,53,married,1
2869,Engenharia da Computação,Fucapi,1,morning shift,2017,1,1,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3031,Física - Licenciatura,Escola Estadual Dom Pedro 2 ,0,morning shift,2014,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,22,single,0
3222,Engenharia de Produção,Escola Estadual Homero de Miranda Leão,0,morning shift,2016,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,21,single,0
3223,Engenharia de Produção,Escola Estadual Prof. Sebastiana Braga,0,afternoon shift,2016,1,1,1,0,1,Semp Toshiba,2015,2017,0,n/a,n/a,n/a,n/a,0,21,single,0
3224,Engenharia de Produção,FUNDAÇÃO MATIAS MACHLINE,-1,full-time school,2016,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,21,single,0
3225,Engenharia de Produção,Instituo Federal de Educação Ciência e Tecnologia do Amazonas,-1,full-time school,2011,1,0,1,1,1,Yamaha MOtor da Amazônia,2016,2018,1,Engenharia de Materiais,-1,2014,2016,1,26,single,0
3226,Engenharia de Produção,Lato Sensu,1,morning shift,2014,0,0,0,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,22,single,0
3227,Engenharia de Produção,Escola Estadual Senador João Bosco Ramos de Lima,0,night shift,2016,0,0,0,0,1,NASSAU,2014,2016,0,n/a,n/a,n/a,n/a,1,21,single,0
3228,Engenharia de Produção,Centro Educacional Adalberto Valle,1,morning shift,2016,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,21,single,0
3229,Engenharia de Produção,centro educacional la salle,1,morning shift,2016,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3230,Engenharia de Produção,waldocke fricke de lira,0,morning shift,2015,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,23,single,0
3231,Engenharia de Produção,Ifam - Instituto Federal do Amazonas,-1,full-time school,2016,1,1,1,1,1,michelin,2016,2018,0,n/a,n/a,n/a,n/a,1,22,single,0
3232,Engenharia de Produção,Idaam,1,morning shift,2016,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3233,Engenharia de Produção,Colegio Amazonense Dom Pedro II,0,morning shift,2013,0,0,0,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,24,single,0
3234,Engenharia de Produção,Ifam ,-1,full-time school,2016,1,1,1,1,1,p&g,2016,0,0,n/a,n/a,n/a,n/a,0,21,single,0
3235,Engenharia de Produção,Instituto Federal do Amazonas,-1,full-time school,2016,1,1,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,22,single,0
3236,Engenharia de Produção,Aldeia do Conhecimento,0,morning shift,2016,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,20,single,0
3237,Engenharia de Produção,E.E.Insp.Dulcinéia Varela Moura,0,morning shift,2016,0,0,0,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,21,single,0
3238,Engenharia de Produção,escola estadual vasco vasques,0,afternoon shift,2013,1,1,1,0,1,procter gamble,2016,2018,0,n/a,n/a,n/a,n/a,1,1,single,0
3239,Engenharia de Produção,Escola Estadual Dorval Porto,0,morning shift,2016,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,22,single,0
3240,Engenharia de Produção,IDAAM,1,morning shift,2016,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,22,single,0
3241,Engenharia de Produção,escola estadual prof fracisco albuquerque de chagas,0,morning shift,2016,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3242,Engenharia de Produção,IDAAM,1,morning shift,2016,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,22,single,0
3243,Engenharia de Produção,Escola Estadual Frei André da Costa,0,morning shift,2009,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,26,single,0
3244,Engenharia de Produção,Nossa Senhora de Nazaré,0,afternoon shift,2008,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,28,single,1
3245,Engenharia de Produção,Fundação Nokia,1,morning shift,2016,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3246,Engenharia de Produção,Escola Estadual Aldeia do Conhecimento Prof. Ruth Prestes Gonçalves,0,night shift,2016,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,19,single,0
3247,Engenharia de Produção,Centro Educacional Adalberto valle,1,morning shift,2016,0,0,0,0,1,Comercial Requinte,2017,0,0,n/a,n/a,n/a,n/a,1,20,single,0
3248,Engenharia de Produção,E.E JOÃO BOSCO PANTOJA EVANGELISTA,0,morning shift,2016,1,0,1,0,1,SAMSUNG ELETRÔNICA DA AMAZÔNIA,2016,2018,0,n/a,n/a,n/a,n/a,0,20,single,0
3265,Engenharia de Produção,Escola Estadual Homero de Miranda Leão,0,morning shift,2016,0,0,0,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,21,single,0
3273,Engenharia de Produção,Colégio Militar do Rio de Janeiro,0,morning shift,2014,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,24,single,0
3274,Física - Bacharelado,ESCOLA ESTADUAL SENADOR SEVERIANO NUNES,0,morning shift,2011,1,0,1,0,1,SCORPION,2018,0,0,n/a,n/a,n/a,n/a,1,27,single,0
3275,Engenharia de Produção,centro educacional adalberto valle,1,morning shift,2016,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,21,single,0
3276,Engenharia de Produção,Instituto Adventista de Manaus,1,morning shift,2013,1,0,1,0,1,TIgre ,2016,0,0,n/a,n/a,n/a,n/a,1,23,single,0
3277,Engenharia de Produção,Escolas IDAAM,1,afternoon shift,2013,1,0,1,0,1,Breitener,2017,0,0,n/a,n/a,n/a,n/a,0,23,single,0
3278,Engenharia de Produção,Escolas Idaam,1,morning shift,2013,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,23,single,0
3279,Engenharia de Produção,colégio militar da polícia militar,0,morning shift,2015,1,0,0,0,1,salcomp,2014,2015,1,administração de empresas,CEULM - CENTRO UNIVERSITARIO LUTERANO DE MANAUS,2016,2017,0,20,single,0
3280,Engenharia de Produção,La Salle,1,morning shift,2016,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3404,Matemática - Licenciatura Diurno,Escola Estadual Professora Alice Salerno Gomes de Lima,0,morning shift,2012,1,0,1,0,1,INMET,2010,2012,0,n/a,n/a,n/a,n/a,1,25,single,0
3446,Engenharia de Produção,Escola Estadual Aldeia Ruth Prestes,0,morning shift,2010,1,1,0,1,1,MGS Consulting,2013,2014,0,n/a,n/a,n/a,n/a,0,28,single,0
3447,Engenharia de Produção,centro educacional adalberto valle,1,morning shift,2016,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3448,Engenharia de Produção,Escola Estadual Roderick de Castelo Branco,0,night shift,2002,1,0,1,1,1,Diversas empresas ,2007,2018,1,Tecnologia em Redes de Computadores,-1,2010,2012,1,33,married,1
3503,Engenharia de Produção,Adalberto Valle,1,morning shift,2016,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,20,single,0
3504,Engenharia de Materiais,Escola Estadual Prof Francisco Albuquerque,0,morning shift,2016,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,20,single,0
3633,Engenharia da Computação,escola estadual estelita tapajos,0,morning shift,2007,1,0,0,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,29,single,0
1085,Pós-graduação em Informática,Teste,0,morning shift,2016,0,0,0,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,3,single,0
1168,Engenharia de Materiais,CMM,0,morning shift,1994,0,0,0,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,18,married,0
1456,Matemática - Licenciatura Noturno,IFAM CMDI,-1,full-time school,2013,1,0,1,1,1,TILOOG,2014,2014,0,n/a,n/a,n/a,n/a,1,25,single,0
1571,Matemática - Licenciatura Diurno,INSTITUTO BENJAMIN CONSTANT ,0,night shift,2001,1,0,0,1,1,MIR IMPORTACAO E EXPOSRTACAO ,2009,2011,0,n/a,n/a,n/a,n/a,1,36,single,0
1683,Física - Licenciatura,Escola Estadual Dr° Isaac Sverner,0,morning shift,2012,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,25,single,0
1770,Sistemas de Informação,Escola Estadual Dom Pedro II,0,morning shift,2017,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,22,single,0
2198,Matemática - Bacharelado,Escola Estadual Solon de Lucena,0,morning shift,2016,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
2371,Matemática - Bacharelado,2CMPM,0,morning shift,2017,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
2372,Matemática - Licenciatura Diurno,Escola Estadual João Bosco Ramos de Lima,0,afternoon shift,2015,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,21,single,0
2377,Matemática - Licenciatura Diurno,Escola Estadual Maria Emilia Martins Mestrinho de Medeiro Raposo,0,afternoon shift,2012,1,0,1,1,1,Policlinica Codajas,2014,2015,1,Análise e Desenvolvimento de Sistemas,UniNorte,2013,2014,1,24,single,0
2390,Engenharia Mecânica,Fundação Nokia,-1,full-time school,2017,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
2445,Ciência da Computação,Escola Estadual Marcantonio Vilaça,0,full-time school,2015,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,22,single,0
2535,Engenharia Elétrica,Escola Estadual Maria Calderaro,0,morning shift,2016,0,0,0,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
2596,Ciência da Computação,Centro Educacional Governador Gilberto Mestrinho,0,morning shift,2014,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,21,single,0
2646,Engenharia de Software,Centro Educacional Recanto da Criança Interativo,1,morning shift,2016,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
2829,Engenharia Elétrica,Escola Estadual Maria Amélia do Espírito Santo,1,morning shift,2016,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3044,Matemática - Bacharelado,ernesto penafort,0,afternoon shift,2016,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3045,Matemática - Licenciatura Diurno,"Instituto Federal de Educação, Ciência e Tecnologia do Amazonas - Campus Manaus Distrito Industrial",-1,full-time school,2016,1,1,1,1,1,Sony do Brasil,2016,2017,0,n/a,n/a,n/a,n/a,1,21,single,0
3046,Matemática - Licenciatura Diurno,Escola Estadual Senador Manuel Severiano Nunes,0,afternoon shift,2016,0,0,0,0,1,DB Supermercados,2013,2015,0,n/a,n/a,n/a,n/a,1,20,single,0
3047,Matemática - Licenciatura Diurno,Antônio Ferreira de Oliveira,0,night shift,2016,0,0,0,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,21,single,0
3048,Matemática - Licenciatura Diurno,Escola Estadual Professora Sebastiana Braga,0,morning shift,2016,1,0,1,0,1,Greif Embalagens Industriais do Amazonas,2016,2018,0,n/a,n/a,n/a,n/a,0,19,single,0
3049,Matemática - Licenciatura Diurno,Escola Estadual de Tempo Integral Dra. Zilda Arns Neumann,0,full-time school,2016,1,1,1,0,1,Midea Carrier ,2017,0,0,n/a,n/a,n/a,n/a,0,20,single,0
3050,Matemática - Licenciatura Diurno,Escola Estadual Manoel Severiano Nunes,0,afternoon shift,2016,1,1,1,0,1,Flex Industries,2013,2015,0,n/a,n/a,n/a,n/a,1,20,single,0
3051,Matemática - Licenciatura Noturno,Escola Estadual Marcio Nery,0,morning shift,2018,1,1,1,0,1,trabalhei em uma grafica,2013,2014,0,n/a,n/a,n/a,n/a,0,24,single,0
3052,Matemática - Licenciatura Diurno,Aldeia do Conhecimento,0,morning shift,2016,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3053,Matemática - Bacharelado,Colégio Militar de Manaus,0,morning shift,2014,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,22,single,0
3054,Matemática - Licenciatura Diurno,Escola Estadual Professora Maria Arminda Guimarães de Andrade,0,afternoon shift,2004,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,34,married,1
3055,Matemática - Bacharelado,Escola Estadual Professor Ruy Alencar,0,afternoon shift,2017,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,19,single,0
3056,Matemática - Licenciatura Diurno,Escola Estadual Jose Mota,0,morning shift,2014,1,0,1,1,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,23,single,0
3057,Matemática - Bacharelado,ESCOLA ESTADUAL ANTONIO MAURITY MONTEIRO COELHO,0,afternoon shift,2015,1,0,1,0,1,DIRETORIA DE ATIVIDADES TÉCNICAS - CORPO DE BOMBEIROS,2017,2018,0,n/a,n/a,n/a,n/a,0,22,single,0
3058,Matemática - Licenciatura Diurno,Unidade Dra. Êmina Barbosa Mustafa-03 SESI ,1,full-time school,2017,1,1,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,0,20,single,0
3059,Matemática - Licenciatura Diurno,colegio militar da policia militar,0,morning shift,2016,1,1,1,1,0,n/a,n/a,n/a,1,engenharia de software,FUCAPI,2017,2017,1,21,single,0
3060,Matemática - Licenciatura Diurno,Escola Estadual Inspetora Dulcinéia Varela Moura,0,morning shift,2016,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,20,single,0
3061,Matemática - Bacharelado,Escola Estadual Maria da Luz Calderaro ,0,morning shift,2016,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,21,single,0
3062,Matemática - Bacharelado,Escola Estadual Aldeia do Conhecimento Profa Ruth Prestes Gonçalves ,0,afternoon shift,2017,1,0,1,0,0,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,1,19,single,0
