Id,attempts,comments,blank_line,lloc,sloc,system_access,exam_grade_codebench,delete_average,average_log_rows,submission_per_exercise,sucess_average,test_average,exercises_list_grade,exercises_list_grade_check_plagiarism,copy_paste_proportion,sintaxe_error,IDE_usage,keystroke_latency,jadud,watson,cont_condition,cont_cicle,cont_variable,error,final_grade
1173,0.0,3,2,5,5,11,0.0,68.8,526.2,0.0,0.0,13.4,0.0,0.0,-1.0,1.0,4.97,4.36,113.6,-1.0,0.4,0.0,2.6,0.2,0.38
1305,0.0,0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1310,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
1688,9,18,11,20,20,9,0.0,44.67,290.33,3.0,0.4,4.0,0.42,0.42,-1.0,0.33,26.6,2.65,26.0,20.0,0.67,1.67,3.67,0.23,0.0
1984,2,7,5,15,15,30,0.0,27.5,220.25,0.5,0.25,2.25,0.18,0.14,1.0,0.0,15.87,3.3,2.75,-1.0,0.25,0.25,1.75,0.26,0.0
2101,59,74,126,183,183,26,10.0,25.16,251.18,1.38,0.87,3.12,7.5,4.5,1.28,0.31,173.78,2.49,15.74,5.15,0.29,0.0,2.88,2.97,10.0
2102,126,40,72,135,135,69,10.0,74.1,569.55,3.0,0.5,10.29,5.36,3.06,0.12,0.4,391.14,3.3,46.93,12.96,0.29,0.0,2.33,2.54,8.01
2103,69,46,65,147,147,24,10.0,37.16,347.18,1.53,0.67,3.81,5.71,4.05,0.38,0.28,176.49,3.64,12.03,5.31,0.0,0.0,2.36,2.74,7.84
2104,107,58,40,172,172,83,10.0,61.12,357.5,2.15,0.72,5.0,7.5,5.85,0.14,0.38,261.59,2.09,21.55,7.91,0.23,0.0,2.64,2.97,9.22
2105,155,39,44,171,171,35,5.0,25.5,262.3,2.88,0.58,4.73,7.5,7.5,0.08,0.36,171.88,2.28,23.12,14.59,0.26,0.0,2.38,2.8,2.03
